HCPCS_CD,paid,allowed,services
20552,9414403.19,11733755.22,294135.0
20553,14499497.67,18640975.62,380106.0
29877,1442146.17,495634.91,1082.0
29879,3304025.16,2525663.5,4189.0
29880,25542269.15,29715304.93,38039.0
29881,31575426.23,36929985.81,49546.0
3100F,0.0,0.0,5563.0
35301,19875991.14,19282617.77,22169.0
37191,3871249.97,3355487.36,14252.0
37192,9622.92,0.0,0.0
37236,5530691.39,1654061.66,2641.0
45330,2663462.78,2874465.99,36705.0
45331,4103357.27,4323131.87,27674.0
45332,25821.64,0.0,0.0
45333,59006.75,5062.75,49.0
45334,384196.62,178141.65,1302.0
45335,219912.18,22259.87,265.0
45337,143707.5,92593.45999999999,836.0
45338,1152943.73,726916.32,2797.0
45340,107600.51,13250.71,124.0
45341,185212.94,126250.77,915.0
45342,55667.28,17112.63,101.0
45378,58765393.74,74944161.73,329907.1
45379,151586.16,1649.9,38.0
45380,253342882.84,311847643.45,1345232.1
45381,7489013.52,7466446.07,69958.0
45382,4961948.95,4160608.63,16121.0
45384,11496680.87,13052265.32,48325.0
45385,432907658.56,529680144.92,1537708.1
45386,424621.42,118235.06,513.0
45387,0.0,0.0,0.0
45388,8123463.6899999995,8313037.18,18993.0
45389,94174.72,10020.04,37.0
45390,13141394.76,12436195.01,26320.0
45391,125855.88,52276.99,238.0
45392,34796.6,0.0,0.0
62311,0.0,0.0,0.0
64483,178496717.85,229152100.87,933352.0
64493,112934980.45,143429049.75,637593.0
70450,156054844.65,207327770.74,5328771.0
70460,971138.43,763349.29,12889.0
70470,3903215.47,4120898.56,53993.0
70486,24512830.07,31738495.92,540178.0
70487,1457924.02,1458844.24,27202.0
70488,273518.67,121315.38,1202.0
70498,49414235.17,62501086.18,774288.0
70547,4613486.98,5139349.65,61916.0
70548,822670.52,774560.96,9743.0
70549,4831530.53,5024538.22,38754.0
70551,82902442.0,108226514.33,1157805.0
70552,1573545.28,1487403.68,14331.0
70553,126644001.0,163953847.49,1055634.0
71010,0.0,0.0,14.0
71015,0.0,0.0,0.0
71020,0.0,0.0,0.0
71030,0.0,0.0,0.0
71035,0.0,0.0,0.0
72010,0.0,0.0,0.0
72020,988645.12,1219745.17,107390.0
72052,1650921.8800000001,2019091.91,57941.0
72100,29707138.19,40877042.02,1813045.1
72110,19369291.1,26508442.16,815149.0
72114,2690923.42,3447850.36,88105.0
72120,901860.53,1090565.84,42323.0
72131,22969493.64,29168361.0,552366.0
72132,3020572.27,3395380.73,58639.0
72133,269077.21,114156.09,1202.0
72141,52760071.52,68142716.48,627977.5
72142,255773.33,80358.69,696.0
72146,18908107.43,23024972.4,235349.0
72147,223187.86,47081.92,434.0
72148,129655862.69,170797786.05,1454628.8
72149,478872.74,213405.37,1594.0
72156,14093514.32,16285017.18,113511.0
72157,12504414.62,14345235.09,99312.0
72158,27049374.91,32873364.6,217232.0
72200,220415.11000000002,226203.1,12438.0
72202,733780.77,861623.45,39756.0
72220,1409103.32,1637609.88,104398.0
73620,6223697.95,7960745.12,399869.0
73630,47639280.22,64858652.01,2727075.0
73650,892481.31,887403.66,49275.0
73718,14898332.790000001,17469802.38,140099.0
73719,95769.29,15292.77,103.0
73720,7760447.57,8308457.6,59323.0
75557,278989.44,142500.89,1178.0
75559,3500.29,0.0,0.0
75561,5782921.28,6982227.44,45231.0
75563,712535.82,809236.58,4334.0
75574,21011375.29,26757826.65,178503.0
76881,7167497.88,8915179.1,185615.0
76882,8923132.37,10998907.17,342575.6
76977,3588.55,2988.15,1487.0
77078,568970.35,559741.1900000001,13247.0
77080,60994595.7,62015865.78,3035089.0
77081,2323692.21,2259353.57,133709.0
78350,0.0,0.0,59.0
78351,0.0,0.0,0.0
78451,2112218.18,2431214.37,19930.0
78452,250061252.1,325057178.93,1417478.0
78453,33815.66,23364.43,556.0
78454,231964.35,253222.68,4654.0
78472,742693.14,774692.02,7972.0
78473,41331.93,12649.65,95.0
78481,85766.18000000001,106138.56,708.0
78483,8145.2,10197.960000000001,142.0
78491,124065.15,86461.40000000001,116.0
78492,104727513.62,132559915.79,105653.0
81240,513865.2,524584.47,24606.0
81241,1546610.8800000001,1580015.18,63010.0
82270,559789.5,570413.59,158208.0
83090,4423413.67,4537721.28,307657.0
83970,69062552.08,71240263.77,1824123.0
84152,154076.2,156139.22,9502.0
84153,56897453.34,58751995.11,3798501.2
84154,8469129.08,8714485.15,519061.0
84480,8062450.180000001,8294796.75,698050.0
84481,24395260.92,25140036.68,1593301.2
85300,178981.48,182195.77,16440.0
85303,219112.66,223299.24,17288.0
85306,319401.43,325051.84,23502.0
85613,505942.56,517312.36,59976.0
86147,5736765.58,5876554.44,271060.0
92920,6530177.57,3248901.98,7092.0
92924,690820.65,22681.75,48.0
92928,81304315.77,90074122.18,179960.0
92933,6595268.21,4158193.66,7325.0
92937,4530690.78,2708301.82,5152.0
92943,3491966.12,1474004.63,2450.0
93015,41528283.95,54046937.6,887491.6
93016,11872610.8,15812240.9,800367.0
93017,1760562.59,2253943.71,81116.0
93018,9480642.83,12569443.4,953300.0
93303,1069264.72,1260069.14,10965.0
93304,60422.45,29537.75,725.0
93306,575811113.03,778787805.7,6943194.9
93307,962677.32,1129366.73,20171.0
93308,13052826.35,16681325.22,564287.0
93312,26898899.76,33986356.17,346745.1
93315,144967.97,86576.39,801.0
93318,82915.49,65612.67,1319.0
93350,3951959.96,5098933.02,66173.0
93351,25179321.16,33484026.63,184700.0
93503,3335745.54,3854871.96,50315.0
93880,162328594.37,216317131.28,1807732.0
93882,1678142.17,1999553.43,28290.0
94010,13518506.8,18232854.85,901589.0
95812,2701751.57,3365698.27,20203.0
95813,3956795.39,4935248.93,25839.0
95816,46375385.339999996,59303580.92,290191.0
95819,27881436.65,35746954.8,160566.0
95822,951073.37,1142732.51,21203.0
95830,7963.09,6776.0,14.0
95957,5934039.44,7330401.9799999995,31717.0
C9600,17618246.62,20235347.05,3662.0
C9602,0.0,0.0,0.0
C9604,0.0,0.0,0.0
C9607,0.0,0.0,0.0
G0102,133341.66,231250.18,21781.0
G0103,25772982.22,26631442.4,1620918.0
G0104,306867.5,141897.68,1981.0
G0105,113144853.58,113501659.87,431634.0
G0106,518.3,0.0,0.0
G0120,3117.03,412.93,11.0
G0121,79775284.97,79127685.9,310609.0
G0122,0.0,0.0,11.0
G0123,1055236.78,1076943.31,66872.0
G0124,800429.99,814904.8,41687.0
G0141,40249.04,39093.72,1865.0
G0143,6600.99,6546.1,390.0
G0144,37962.29,38121.99,1398.0
G0145,8864341.5,9088163.54,428488.0
G0147,949.76,952.05,105.0
G0148,313.0,127.75999999999999,54.0
G0289,156346.44,75482.19,1159.0
G0328,6159558.86,6321028.18,406285.0
P3000,15947.95,15101.32,1405.0
P3001,16321.62,14305.86,789.0
Q0091,16470608.73,16591879.57,475308.0
